"","Country","Capital","Population","Area","Region","Net.migration","Infant.mortality..per.1000.births.","GDP....per.capita.","Literacy....","Phones..per.1000.","Crops....","Climate","Birthrate","Deathrate","Agriculture","Industry","Service"
"1","Afghanistan","Kabul","29121286","647500.0","ASIA (EX. NEAR EAST)         ",2306,16307,700,360,32,22,1,466,2034,38,24,38
"3","Albania","Tirana","2986952","28748.0","EASTERN EUROPE                     ",-493,2152,4500,865,712,442,3,1511,522,232,188,579
"4","Algeria","Algiers","34586184","2381740.0","NORTHERN AFRICA                    ",-39,31,6000,700,781,25,1,1714,461,101,6,298
"8","Anguilla","The Valley","13254","102.0","LATIN AMER. & CARIB    ",1076,2103,8600,950,4600,0,2,1417,534,4,18,78
"11","Argentina","Buenos Aires","41343201","2766890.0","LATIN AMER. & CARIB    ",61,1518,11200,971,2204,48,3,1673,755,95,358,547
"12","Armenia","Yerevan","2968000","29800.0","C.W. OF IND. STATES ",-647,2328,3500,986,1957,23,4,1207,823,239,343,418
"13","Aruba","Oranjestad","71566","193.0","LATIN AMER. & CARIB    ",0,589,28000,970,5161,0,2,1103,668,4,333,663
"14","Australia","Canberra","21515754","7686850.0","OCEANIA                            ",398,469,29000,1000,5655,4,1,1214,751,38,262,7
"15","Austria","Vienna","8205000","83858.0","WESTERN EUROPE                     ",2,466,30000,980,4522,86,3,874,976,18,304,678
"16","Azerbaijan","Baku","8303512","86600.0","C.W. OF IND. STATES ",-49,8174,3400,970,1371,271,1,2074,975,141,457,402
"18","Bahrain","Manama","738004","665.0","NEAR EAST                          ",105,1727,16900,891,2813,563,1,178,414,5,387,608
"19","Bangladesh","Dhaka","156118464","144000.0","ASIA (EX. NEAR EAST)         ",-71,626,1900,431,73,307,2,298,827,199,198,603
"20","Barbados","Bridgetown","285653","431.0","LATIN AMER. & CARIB    ",-31,125,15700,974,4819,233,2,1271,867,6,16,78
"21","Belarus","Minsk","9685000","207600.0","C.W. OF IND. STATES ",254,1337,6100,996,3191,6,4,1116,1402,93,316,591
"22","Belgium","Brussels","10403000","30510.0","WESTERN EUROPE                     ",123,468,29100,980,4626,4,3,1038,1027,1,24,749
